	mean_inCluster	mean_outCluster	log2_fold	p-value	relevant_genes
211	48.90647714132737	17.274607022168524	1.5013672544930756	2.475279556636596e-99	2210409D07Rik;4930455C13Rik;A330076C08Rik;A730020E08Rik;Ccser1;AI839979;Acox2;Add2;Adra1b;Ank;Atp2b2;Atp6v1g3;C330013E15Rik;Dazap2;Smagp;C730002L08Rik;Casc1;Etfrf1;Cavin4;Cdh20;D430019H16Rik;Ddrgk1;Itpa;Lzts3;Diexf;Dnajc21;Dnajc5g;Slc30a3;Trim54;Ucn;Eif4e1b;Tspan17;Elovl2;Enoph1;Hnrnpdl;Foxp1;Gart;Son;Gda;Gm11837;Gm14015;Gm17751;Gm32496;Gm6213;Gm7008;Ifrd1;Mir1938;Grp;Hes5;Pank4;Igsf11;Il1r1;Kcnb1;Lmbrd1;Ltc4s;Ly86;Map2k4;Zkscan6;Mff;Mir1929;Mir802;Mrnip;Nptxr;Otud7b;Panx3;Tbrg1;Pbp2;Pcp2;Pet100;Xab2;Pdlim4;Pdzrn4;Phyhip;Platr4;Plek2;Prickle1;Rab18;S100a7a;S100a8;Serpinb3a;Sntb2;Snx21;Tnnc2;Ube2c;Srrm4os;Sun1;Tbpl2;Tmco2;Zmpste24;Ttc30b;Tyro3;Usp43;Zbtb34;Zfyve28
114	44.36866777717874	20.49900403804567	1.113983632051357	1.2826846863097495e-88	1700007P06Rik;Gm15509;2900005J15Rik;Prkag2;3830406C13Rik;Acot11;Ankrd34c;Bbs10;Bcar3;Bok;Cacna2d1;Cadps2;Casp9;Dnajc16;Cflar;Chtf8;Utp4;Clcn6;Mthfr;Cln5;Fbxl3;Clstn1;Copz2;Mir152;Nfe2l1;Cpne3;Rmdn1;Creb1;Cttn;D630045J12Rik;Ddo;Dkk2;Fate1;Prrg3;Fggy;Fkrp;Prkd2;Strn4;Gcnt2;Gm11548;Gm11549;Gm12522;Psrc1;Gm16523;Gm19461;Gm34184;Gm5086;Golt1a;Kiss1;Hipk1;Ifih1;Kcnf1;Lrrc39;Sass6;Trmt13;Map9;Mdm1;Mical2;Mir6336;Mir7211;Tmcc3;Mras;Nlgn3;Nodal;Nptxr;Osbpl1a;Pak7;Pfkfb4;Phactr3;Poc1a;Porcn;Rasgrp3;Sept6;Slc4a4;Smad5;Snx7;Stat4;Txndc11
76	48.668087712390545	17.14332083834358	1.5053240361596463	3.4975906450809258e-87	1700125G02Rik;Epha10;2010111I01Rik;2310043L19Rik;2810004N23Rik;Exoc8;Gnpat;Sprtn;2810471M01Rik;2900076A07Rik;BC048679;Mir1839;3110082I17Rik;4930465K10Rik;8030462N17Rik;4930511A08Rik;4930519K11Rik;Kcnma1;4930591A17Rik;Cdh4;4932413F04Rik;A230028O05Rik;A530065N20Rik;Abca13;Abca5;Adam8;Mir7062;Adora2a;Aig1;Gm32172;Amer3;Prss40;Arc;Atf1;Atp1a1;Atp6v1a;Naa50;B230217O12Rik;Fam160b1;BB019430;Edar;C2cd3;Ppme1;Cacna1a;Cacna1c;Dcp1b;Cad;Calm5;Cblb;Ccdc113;Ccdc42;Ccdc42os;Celf2;Ces1e;Cnpy1;Cpa2;Cyp46a1;Hhipl1;D16Ertd519e;D730003I15Rik;Ddr2;Dgcr6;Dguok;Dio3;Dio3os;Mir1247;Dlgap3;Dntt;Eps8;Erich6;Evc;Evc2;Faah;Fam184a;Fcrls;Fign;Gatm;Spata5l1;Gm10415;Gm16630;Krba1;Gm19303;Gm19500;Gm19519;Gm20594;Gm29669;Gm29685;Gm5079;Gne;Gng2;Gpr171;P2ry14;Inpp4a;Ipo5;Ipo9;Mir1231;Jarid2;Kcnc2;Kcnj12;Kctd4;Lactb;Rps27l;Larp6;Lhfpl2;Lifr;Lncenc1;Lpin2;Lrit3;Rrh;Lrrc6;Marc2;Mir153;Mir21a;Mir340;Mir5710;Wdr61;Mir694;Mir6995;Mir721;Mir7241;Mir7242;Mir7683;Slamf7;Mosmo;Mrvi1;Myl1;Myo5c;Ndst1;Rps14;Nop53;Selenow;Snord23;Nosip;Prr12;Prrg2;Nt5c3;Nt5e;Osbp2;Otop2;Otop3;Ush1g;Patj;Pdcd1lg2;Pkp2;Plb1;Pole4;Ptprs;Znrf4;Rab27a;Rapgefl1;Ripply3;Rnu7;Rufy2;S100a10;Schip1;Shank2;Slc17a9;Slc39a10;Sntn;Sorbs3;Spc24;Specc1;Spock2;Srp19;Thrb;Tmem201;Tnfrsf8;Tpd52;Tpk1;Traf6;Trak1;Triml2;Ugt2b1;Ugt2b34;Wipf3;Zfp827
238	23.01001986575165	8.909962880894883	1.368760980545976	1.0902581113965879e-85	1700030O20Rik;4930579P08Rik;4930406D18Rik;5930438M14Rik;6030469F06Rik;A330023F24Rik;Mir29b-2;Mir29c;Abcb5;Alg5;Exosc8;Arl6ip5;Uba3;Aven;Chrm5;B3gnt2;Bmpr1b;Brpf1;Cpne9;Btbd8;Lpcat2b;Cd200r1;Cd74;Rps14;Cilp2;Ndufa13;Tssk6;Yjefn3;Dnajc21;Gng4;Ikbke;Ing2;Kctd1;Lancl2;Pyurf;Ldlrad4;Lrp8;Lrp8os2;Map7;Mir466p;Nedd9;Nfu1;Olfr788;Olfr789;Olfr790;Osbpl3;Phf24;Pip5k1c;Tjp3;Sestd1;Slc2a12;Tmem63c
249	50.63968295339998	16.50226985073722	1.6175980012500983	5.116766727973225e-85	1700006E09Rik;Dusp3;1700008C04Rik;1700020I14Rik;Nusap1;Oip5;1700025K24Rik;2010016I18Rik;Dennd2d;2210039B01Rik;Tmem30b;3110015C05Rik;4930401O10Rik;4930426L09Rik;Pip4k2a;4930443O20Rik;A930011G23Rik;Abca14;Anks4b;Crym;Acox3;Trmt44;Adamts17;Adcy9;Adrb2;Gm9949;Ak1;St6galnac6;Aldh3a1;Ampd3;Anapc15;Folr1;Lamtor1;Tomt;Ankrd27;Rgs9bp;Aqp11;Atp8b5;B3gat3;Eml3;Ganab;Ints5;Rom1;Bcl7a;Bend4;C330024D21Rik;Btbd8;Lpcat2b;C030016D13Rik;Pum3;C130026L21Rik;Cacna1c;Cavin3;Cby1;Fam227a;Tomm22;Ccdc155;Gfy;Mir7055;Pth2;Cep76;Psmg2;Cep83;Cep83os;Cep85l;Cers5;Cfap46;Chn2;Chrm4;Clca3a2;Coa6;Cox4i1;Emc8;Gm27021;Crem;Csf1;Cspg4;Ctdp1;Ctnna3;D030045P18Rik;Dclk3;Dcx;Ddo;Deaf1;Tmem80;Degs2;Deptor;Dlgap1;Dnal4;Nptxr;Drp2;Dusp5;Elovl4;Exoc1;Eya3;Fam20b;Fam43b;Mul1;Fbxl22;Fbxo22;Fcho2;Fzd1;Glt8d2;Hcfc2;Gm10390;Gm13030;Pla2g2e;Pla2g5;Gm15413;Gm16130;Gm19424;Slit1;Gm19990;Gm8439;Has3;Hrh1;Hsd11b1;Iqsec2;Jade3;Kat6b;Kcna2;Kcnj12;Kcnj6;Kctd6;Kiss1;Ren1;Ren2;Lamc2;Lcp2;Limk2;Lipo1;Man2b2;Map7;Mecp2;Mir3085;Mir6399;Mir6401;Mir6538;Rnf144a;Mir744;Mmd;Muc2;Mycbpap;Rsad1;Nbn;Ncald;Ndfip1;Ninj1;Nt5c3;Nt5dc3;Ocm;Orc2;Paqr9;Plau;Pml;Stoml1;Ppef2;Ppp1r12c;Tnni3;Tnnt1;Ppp2r2c;Ppp2r2cos;Prkab1;Prkar2a;Prokr2;Prox2;Rapgef5;Rbm5;Relb;Rpl21;Rps4l;Scarb1;Sema4d;Sept5;Serpina16;Serpina1f;Slc35e1;Slc6a2;Sntb2;Sntn;Spon2;Stx1a;Stxbp5;Tbc1d20;Tmem218;Trpv6;Uchl1;Uchl1os;Vmn1r233;Zfp160;Wbscr17;Wnt9b
205	45.870637908271135	19.75398128423828	1.2154233642624954	9.235584614588663e-76	1500026H17Rik;Scyl2;1700001L05Rik;1700012D16Rik;1700017L05Rik;1700030K09Rik;Calr3;Cherp;Mir7068;1700086L19Rik;Dbpht2;2200002J24Rik;Pmis2;2310022B05Rik;2310039H08Rik;Cnpy3;Ptcra;2410002F23Rik;Acp4;Gm15517;Gm18905;Snord88a;Snord88c;2810410L24Rik;4921534H16Rik;Clstn2;4930405O22Rik;4930419G24Rik;4930425K10Rik;Gm5108;4930441J16Rik;4930503B20Rik;Gm16325;4930579D09Rik;4933416C03Rik;Ptprr;4933432I09Rik;5031434C07Rik;Lmcd1;5033403H07Rik;5830417I10Rik;Syt11;9130024F11Rik;Satb2;9130221F21Rik;A830036E02Rik;Krt12;A930024E05Rik;Kdm2b;AA414768;AI413582;Hmga1;Hmga1b;AU015791;Abhd16a;Ly6g5b;Ly6g5c;Ly6g6f;Adcy10;Adgrf1;Ahdc1;Alkbh6;Clip3;Syne4;Ankfy1;Ankrd6;Apbb2;App;Arrb1;Atf1;Atp13a5;Atp2b2;Atp6v1e2;Tmem247;Atp8b3;Rexo1;Aym1;Mir7230;B3gnt8;Bckdha;Exosc5;BB014433;BC020402;Lats1;Pcmt1;Baz2a;Bbip1;Shoc2;Bcl11a;Bcl7a;Bcl7c;Mir762;Bcl9;Bpi;Bscl2;Gng3;Lrrn4cl;C1qa;C1qc;C1qtnf1;Gm11747;C1qtnf9;Mipep;C2cd3;Ppme1;Cabp7;Cacng7;Capn12;Ccdc110;Ccdc162;Ccdc172;Ccdc62;Ccl28;Ccr10;Cntnap1;Plekhh3;Ccz1;Ocm;Cd274;Plgrkt;Cdk2ap1;Cdsn;Psors1c2;Celsr1;Cep112;Chchd7;Plag1;Chdh;Cib2;Sh2d7;Ckap5;Clec3b;Clstn1;Clu;Scara3;Cmah;Cmtm4;Cmtm7;Cnnm4;Lman2l;Cpn1;Cpsf4l;D11Wsu47e;Fam104a;Cryzl2;Ctdspl;Ctrl;Lcat;Psmb10;Cyb5rl;Mrpl37;Cyp26a1;Cyp26c1;D10Wsu102e;Slc41a2;D7Ertd443e;Ddi2;Ddr2;Ddx1;Dgka;Pym1;Dgke;Dgkeos;Gm525;Dhrs4;Dhx57;Morn2;Disc1;Dlc1;Dlgap1;Dlk1;Dmtn;Fgf17;Npm2;Dock9;Dpys;Drp2;Dtwd1;Fam227b;Dusp19;Nup35;Dynlrb1;E430016F16Rik;Eefsec;Efna1;Slc50a1;Eif3f;Nlrp10;Eipr1;Trappc12;Emx2;Emx2os;Enpp2;Epb41l1;Ephb1;Erlin1;Esr1;Exosc9;Fam13c;Fam160a1;Fam25c;Gm3219;Mmrn2;Sncg;Fam43a;Lsg1;Fam53a;Fam78b;Gm16701;Fam81a;Flywch1;Flywch2;Fmod;Fndc5;Foxc1;Foxp4;Fuz;Med25;Ptov1;Fzd3;Gemin8;Gga2;Ggact;Gm15735;Gm10494;Gm11634;Tmem106a;Gm12338;Pitpna;Gm12915;Mir698;Gm15910;Gm16291;Gm19723;Gm31592;Gm4598;Tex101;Gm5177;Gm7694;Sh2d1b1;Spata46;Gm9839;Gnrh1;Gpm6a;Gpr15;Gpr26;Gpr83;Grap2;Grk3;Grp;Gucd1;Snrpd3;Hacd3;Herc4;Homer2;Ifitm1;Ifitm2;Ifne;Ipo9;Ippk;Iqgap1;Itga9;Kcng2;Kcnip4;Kcnmb4;Kcnmb4os2;Kdm4c;Kdm7a;Kif22;Maz;Pagr1a;Prrt2;Zg16;Kif6;Klhl11;Mir7116;Klhl34;Krt14;Krt9;L3mbtl2;L3mbtl4;Lgals3;Lingo1;Lmnb1;Lmod2;Lmtk2;Lrp1b;Lrp2bp;Lrrc32;Lrrc36;Lrrc58;Lsm14a;Ly86;Mamdc2;Mark4;Matn2;Mga;Mir1197;Mir299a;Mir299b;Mir323;Mir329;Mir379;Mir380;Mir411;Mir758;Mir882;Mir133a-1;Mir1a-2;Mir1b;Mir140;Mir153;Mir1898;Mtmr12;Mir3062;Rangrf;Slc25a35;Mir331;Mir6358;Mir7006;Uckl1;Uckl1os;Mir7049;Mir7064;Nap1l4;Mir7088;Mst1;Rnf123;Mir719;Mir7219;Mir7226;Mlkl;Mpp3;Mpped1;Msln;Narfl;Mymx;Slc29a1;Myo16;Nanos1;Nell2;Neurod1;Nlrp3;Nlrx1;Pdzd3;Noct;Nop10;Nutm1;Slc12a6;Nsun2;Srd5a1;Ocm;Olfr877;Oprd1;Osbpl1a;P2rx3;Ssrp1;Tnks1bp1;Pabpc4;Pam;Pantr2;Pappa2;Pebp4;Pex13;Pus10;Pgbd5;Phc2;Pigk;Pla2g2c;Ubxn10;Plb1;Plxna4;Pnrc1;Ppargc1a;Ppp1r12b;Ppp1r13b;Ppp4r1;Prdm13;Ptpn21;Ptprd;Qrfpr;Ralgapa2;Ramp1;Rapgef4;Rax;Rbfox2;Rbm26;Rbm47;Rgs13;Rhbdl2;Rilp;Scarf1;Slc43a2;Ripply1;Ror1;Rpl39;Snora69;Rs1;Rtn1;Scai;Scpep1os;Sdc3;Sema4f;Serinc1;Serpind1;Sidt1;Slc25a17;Slc2a7;Slc35d1;Slc41a2;Slfn2;Smim15;Smim20;Spc25;Speg;Sphkap;Spi1;Spink14;Srsf3;Stpg2;Stx6;Susd5;Syt12;Syt13;Taok3;Tarsl2;Tas2r118;Tbc1d2;Tbcel;Tbx22;Tcf12;Tenm2;Tff2;Tff3;Thoc7;Tiam2;Tmbim6;Tmeff2;Tmem211;Tmem55a;Tmem86a;Tmem98;Tnk2;Tnk2;Tnk2os;Tnpo1;Top1;Tpk1;Trank1;Trem2;Treml1;Ttc7b;Txndc2;Ubtd2;Urb1;Vdr;Virma;Vps54;Vsig10;Wbscr17;Wfdc15a;Wfdc15b;Zbtb34;Zdhhc23;Zfp474
510	15.670963077814182	5.6843282108959245	1.4630159084800451	3.886124024107044e-74	4931408D14Rik;9930111H07Rik;Mir8096;Arhgef25;Dtx3;F420014N23Rik;Slc26a10;Atxn7l1;Chaf1a;Mpnd;Sh3gl1;Stap2;Diaph2;E030013I19Rik;Itga8;Fam3c;G630055G22Rik;Hkdc1;Lrrc4;Mir1952;Snapc3;Tacc1;Tpm1;Tram1
256	56.32855410202155	21.377289079383292	1.3977833399998214	9.709645011980134e-71	1110006O24Rik;Rab35;1700007L15Rik;Zfp148;1700013G24Rik;Cela3b;1700083H02Rik;1700086L19Rik;Dbpht2;1700101I11Rik;Gabarapl1;Olr1;Tmem52b;2210420H20Rik;2410131K14Rik;Rnft2;2410137M14Rik;H2-M5;Zfp57;2810471M01Rik;2900026A02Rik;4921517D22Rik;Spata31d1a;Spata31d1b;4930402F11Rik;4930422M22Rik;4930452G13Rik;4930506C21Rik;Sft2d1;4931440F15Rik;4933415F23Rik;4933431G14Rik;4933436H12Rik;5830418P13Rik;6530402F18Rik;Ntng2;6720468P15Rik;9130227L01Rik;A1bg;A230028O05Rik;A430090L17Rik;AI847159;Slc20a1;AU021092;Mir6364;Nagpa;Aasdh;Abhd12;Gins1;Ace;Cyb561;Ache;Mir7036;Mir8116;Ufsp1;Acot8;Snx21;Tnnc2;Zswim3;Acp6;Acss2;Ggt7;Adcyap1;Adcyap1r1;Add2;Adgrb2;Adk;Agxt;Aicda;Akap2;Akap8l;Amn1;Ap5m1;Exoc5;Apc;Gm10548;Apom;Bag6;Prrc2a;Arap2;Atl1;Map4k5;Atp9b;B3glct;Bcas1;Bdp1;Serf1;Bmp8a;Oxct2a;Boc;Mir3081;Bpifb3;Bpifb6;Bscl2;Gng3;Lrrn4cl;Ubxn1;Bst2;Mvb12a;Btf3;Gm9828;C8b;Cacng1;Camk2b;Cblb;Cck;Cct3;Tsacc;Cd200r4;Cd300a;Cebpe;Chchd3;Chd7;Chga;Chrnb3;Cilp2;Clca3a2;Cnot6;Cplx4;Rax;Cpne9;Creg2;Crtc1;Cstl1;Napb;Dbndd1;Gas8;Dimt1;Ipo11;Dlgap1;Dnaaf5;Prkar1b;Dnajc5g;Slc30a3;Trim54;Ucn;Dnase2b;Uox;Dpyd;E130018N17Rik;Ebpl;Edn1;Elmod1;Ercc8;Ndufaf2;Evc;Evc2;Ffar2;Krtdap;Fgf23;Fhod3;Fkbp1b;Sf3b6;Wdcp;Foxk1;Fstl4;Fut10;Mak16;Gck;Myl7;Gfy;Mir7055;Pth2;Slc17a7;Gja6;Gm15413;Gm15743;Gm1647;Kpna4;Gm1968;Gm2087;Lca5;Gm30570;Gm31369;Gm38402;Zfp133-ps;Gm41341;Gnl2;Golt1a;Kiss1;Gpalpp1;Nufip1;Gpm6b;Gsdmd;Mroh6;Habp2;Hdac10;Mapk11;Mapk12;Tubgcp6;Hdac4;Heg1;Hif3a;Ppp5c;Hrc;Rpl14-ps1;Trpm4;Hspg2;Ick;Igsf21;Ipcef1;Ist1;Zfp821;Itga7;Mettl7b;Kbtbd13;Rasl12;Slc51b;Kif2b;Klrb1c;Kptn;Slc8a2;Lbhd1;Lrrn4cl;Ubxn1;Uqcc3;Ldhal6b;Lncbate1;Lonrf3;Lpcat3;Lrrc10b;Ppp1r32;Lrrc49;Lyzl4os;M1ap;Man2b2;Map4;Masp2;Srm;Mettl8;Mir128-1;Mir1291;Olfr279;Snora2b;Snora34;Mir1962;Mir29a;Mir29b-1;Mir3106;Mir491;Mir6239;Mir6356;Mir687;Mir6954;Scx;Mir7056;Mir7223;Mllt3;Mpo;Myl9;Nckap1;Ndufv3;Wdr4;Nfkbia;Nfyc;Nod2;Snx20;Nrsn1;Nsmce1;Nudt12;Nudt12os;Olfr1344;Smim17;Olfr459;Osbpl5;Oxr1;Pde1a;Pgm1;Plch2;Plg;Pou3f1;Ppp1r12a;Prdm10;Prkcd;Prph;Tuba1c;Prrc2c;Ptger4;Ptpn3;Ptpro;Pxk;Ran;Rasl11a;Rbm24;Rcan2;Rgs4;Rhbdf2;Rhbdl2;Robo2;Rph3al;Scg3;Serinc5;Spz1;Sgk1;Shisa6;Siae;Spa17;Sipa1l1;Slc12a7;Slc15a1;Slc25a43;Slc30a3;Snai2;Sparcl1;Ssbp2;St8sia2;Susd2;Susd5;Tbcel;Tex36;Tiam1;Tiam2;Tmem178;Tmem196;Tmem229a;Tmem229b;Tmx4;Trim56;Ube2h;Virma;Wdr34;Zbtb34;Zdhhc2;Zfp131;Zfp362;Zfp750;Zfp950;Zfyve28
150	23.186149360542984	10.709514475255842	1.1143629196500495	3.5775847900282774e-68	1700073E17Rik;Aifm1;Rab33a;Arpc2;B430306N03Rik;Trem2;Bsnd;Capza3;Plcz1;Cenpu;Cog2;Cpne6;Nrl;Ctcf;Gm5914;Mir1966;Ripor1;D930020B18Rik;Dnmbp;Gm2491;Gsg1;Kcnv1;Megf9;Mtfp1;Sec14l2;Olfr993;Olfr994;Olfr995;Serpinb8;Stard8;Syn3;Tcof1;Tom1l1;Tsku
172	14.390808048396396	6.448547843796099	1.1580890349832837	1.805323490789242e-65	1700104L18Rik;Atp6v1a;Naa50;Calm3;Ptgir;Disp1;Eif4e;Extl3;Gm9054;Plekho1;Golga7b;Gsn;Ift43;Tgfb3;Itpk1;Mir1936;Lemd1;Mir135b;Lrrc6;Malat1;Mascrna;Mas1;Mrgprh;Mir6366;Ndrg4;Ptpn9;Rilpl1;Scgb3a1;Smap1;Syp;Tmem121b
